energy_center_MeV,annihil,compt,conv,primary,other,total
1.012500,4.000000,0.000000,1.000000,12.000000,7.000000,24.000000
1.017500,0.000000,1.000000,2.000000,10.000000,7.000000,20.000000
1.022500,0.000000,0.000000,0.000000,6.000000,5.000000,11.000000
1.027500,2.000000,0.000000,0.000000,11.000000,4.000000,17.000000
1.032500,1.000000,1.000000,0.000000,9.000000,1.000000,12.000000
1.037500,0.000000,2.000000,1.000000,17.000000,6.000000,26.000000
1.042500,3.000000,0.000000,1.000000,12.000000,2.000000,18.000000
1.047500,1.000000,0.000000,3.000000,12.000000,5.000000,21.000000
1.052500,1.000000,1.000000,1.000000,13.000000,4.000000,20.000000
1.057500,1.000000,1.000000,0.000000,17.000000,4.000000,23.000000
1.062500,1.000000,0.000000,1.000000,25.000000,11.000000,38.000000
1.067500,4.000000,2.000000,0.000000,15.000000,3.000000,24.000000
1.072500,1.000000,4.000000,0.000000,11.000000,5.000000,21.000000
1.077500,2.000000,1.000000,0.000000,14.000000,2.000000,19.000000
1.082500,2.000000,0.000000,0.000000,12.000000,4.000000,18.000000
1.087500,2.000000,1.000000,0.000000,15.000000,4.000000,22.000000
1.092500,0.000000,0.000000,1.000000,17.000000,4.000000,22.000000
1.097500,2.000000,2.000000,2.000000,15.000000,6.000000,27.000000
1.102500,2.000000,0.000000,3.000000,18.000000,2.000000,25.000000
1.107500,1.000000,0.000000,1.000000,16.000000,8.000000,26.000000
1.112500,3.000000,1.000000,0.000000,29.000000,6.000000,39.000000
1.117500,0.000000,1.000000,1.000000,16.000000,4.000000,22.000000
1.122500,0.000000,1.000000,0.000000,13.000000,3.000000,17.000000
1.127500,3.000000,0.000000,0.000000,14.000000,5.000000,22.000000
1.132500,0.000000,0.000000,0.000000,25.000000,4.000000,29.000000
1.137500,0.000000,0.000000,0.000000,19.000000,4.000000,23.000000
1.142500,0.000000,1.000000,1.000000,18.000000,4.000000,24.000000
1.147500,1.000000,0.000000,0.000000,13.000000,4.000000,18.000000
1.152500,1.000000,2.000000,3.000000,12.000000,5.000000,23.000000
1.157500,1.000000,1.000000,0.000000,14.000000,4.000000,20.000000
1.162500,2.000000,2.000000,0.000000,20.000000,1.000000,25.000000
1.167500,0.000000,3.000000,0.000000,19.000000,3.000000,25.000000
1.172500,2.000000,2.000000,1.000000,16.000000,6.000000,27.000000
1.177500,0.000000,2.000000,0.000000,13.000000,4.000000,19.000000
1.182500,2.000000,1.000000,0.000000,5.000000,2.000000,10.000000
1.187500,2.000000,2.000000,0.000000,16.000000,6.000000,26.000000
1.192500,1.000000,0.000000,0.000000,14.000000,0.000000,15.000000
1.197500,1.000000,1.000000,1.000000,19.000000,6.000000,28.000000
1.202500,2.000000,1.000000,0.000000,20.000000,6.000000,29.000000
1.207500,2.000000,3.000000,2.000000,13.000000,4.000000,24.000000
1.212500,0.000000,1.000000,1.000000,26.000000,6.000000,34.000000
1.217500,1.000000,0.000000,4.000000,23.000000,3.000000,31.000000
